LGOROWLENGTH	3																																										
Measurement_mode	patch																																										
CREATED	10/17/2018	#	Time:	13:31																																							
INSTRUMENTATION	Eye-One	iO																																									
MEASUREMENT_SOURCE	WhiteBase=Absolute	Filter=No																																									
ILLUMINATION_NAME	D50																																										
OBSERVER_ANGLE	2																																										
KEYWORD	SampleID																																										
KEYWORD	SAMPLE_NAME																																										
NUMBER_OF_FIELDS	44																																										
BEGIN_DATA_FORMAT																																											
SampleID	SAMPLE_NAME	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	nm380	nm390	nm400	nm410	nm420	nm430	nm440	nm450	nm460	nm470	nm480	nm490	nm500	nm510	nm520	nm530	nm540	nm550	nm560	nm570	nm580	nm590	nm600	nm610	nm620	nm630	nm640	nm650	nm660	nm670	nm680	nm690	nm700	nm710	nm720	nm730
END_DATA_FORMAT																																											
NUMBER_OF_SETS	33																																										
BEGIN_DATA																																											
1	A1	11.79	17.01	49.11	48.28	-28.89	-57.43	0.0534	0.1094	0.2105	0.3309	0.4363	0.5221	0.5965	0.6417	0.6482	0.6411	0.6247	0.6069	0.5733	0.4978	0.3938	0.298	0.2113	0.1248	0.0637	0.0372	0.0271	0.0228	0.0198	0.0182	0.0183	0.0193	0.0213	0.0253	0.0307	0.0334	0.0318	0.0283	0.0246	0.0233	0.0281	0.0454
2	A2	4.66	7.27	17.38	32.41	-26.52	-35.53	0.0272	0.0511	0.0893	0.1285	0.1596	0.1835	0.2038	0.2176	0.2216	0.2232	0.2295	0.2422	0.2429	0.2109	0.1617	0.1252	0.0946	0.057	0.0302	0.0196	0.0155	0.0132	0.0113	0.0103	0.0103	0.0108	0.0122	0.0149	0.0187	0.0207	0.0197	0.017	0.0143	0.0136	0.0173	0.031
3	A3	0.4	0.59	0.79	5.3	-6.59	-5.66	0.0051	0.0063	0.0067	0.0063	0.0066	0.0071	0.0078	0.0087	0.0096	0.0107	0.0122	0.0138	0.0144	0.0129	0.0102	0.0084	0.007	0.0052	0.004	0.0036	0.0034	0.0032	0.003	0.0027	0.0027	0.0025	0.0023	0.0023	0.0021	0.0021	0.0021	0.0022	0.0024	0.0025	0.0027	0.0031
4	B1	15.61	22.06	53.35	54.09	-29.61	-52.1	0.0773	0.1416	0.2523	0.3813	0.4948	0.5833	0.6517	0.6909	0.6952	0.6877	0.6718	0.6554	0.6261	0.5591	0.4635	0.3722	0.2852	0.1904	0.1157	0.0789	0.063	0.0552	0.0495	0.0461	0.046	0.0479	0.0518	0.0598	0.0698	0.0747	0.0721	0.066	0.0586	0.0554	0.0631	0.0907
5	B2	6.06	8.95	18.25	35.88	-24.79	-31.52	0.0359	0.0639	0.104	0.1441	0.1751	0.1978	0.2155	0.2268	0.23	0.2313	0.2382	0.253	0.2567	0.2269	0.1791	0.146	0.1182	0.0787	0.0477	0.0356	0.0308	0.0276	0.0244	0.0223	0.0224	0.0236	0.0263	0.0318	0.0387	0.0422	0.0404	0.0358	0.0306	0.0287	0.035	0.0565
6	B3	0.48	0.7	0.87	6.31	-7.75	-5.34	0.0073	0.0074	0.008	0.0072	0.0075	0.0078	0.0086	0.0094	0.0106	0.012	0.0135	0.015	0.0157	0.0143	0.0117	0.01	0.0086	0.0066	0.0051	0.0047	0.0043	0.004	0.0037	0.0033	0.0031	0.0029	0.0029	0.0028	0.0028	0.0027	0.0026	0.0029	0.0029	0.0031	0.0034	0.0038
7	C1	20.38	27.79	55.46	59.7	-28.47	-44.69	0.1014	0.1673	0.2794	0.4116	0.5293	0.6157	0.6762	0.7096	0.7141	0.7086	0.6981	0.6883	0.6671	0.6112	0.5276	0.4425	0.3573	0.2609	0.1797	0.1364	0.1161	0.106	0.098	0.0929	0.0927	0.0954	0.1014	0.1125	0.1258	0.1324	0.129	0.121	0.111	0.1063	0.1162	0.1506
